id,name,sex,power,age,nationality,country,subject
PatriaYLibertad,Patria y Libertad,0,2,0,2,1,1
ManuelContreras,Manuel Contreras,1,5,4,2,1,1
HugoRoggendorf,Hugo Roggendorf,1,2,4,4,2,6
WalterRauff,Walter Rauff,1,2,4,4,2,6
HansAlbertLoeper,Hans Albert Loeper,1,2,4,4,2,6
GerhardMertins,Gerhard Mertins,1,3,4,4,2,2
FreundeskreisColoniaDignidad,Freundeskreis Colonia Dignidad,0,1,0,4,2,6
ManfredRoeder,Manfred Roeder,1,1,4,4,2,6
FranzJosefStrauss,Franz Josef Strauss,1,4,4,4,2,1
DeutscheBotschaft,Deutsche Botschaft,0,5,0,4,1,1
AugustoPinochet,Augusto Pinochet,1,5,4,2,1,1
ErichStraetling,Erich Straetling,1,3,4,4,2,1
WolfgangVogelgesang,Wolfgang Vogelgesang,1,2,4,4,2,1
GerhardLoewenthal,Gerhard Loewenthal,1,2,4,4,2,6