id,name,power,age,nationality,country,subject,type,sex
AugustoPinochet,Augusto Pinochet,5,4,2,1,1,0,1
AdolfHerkenrath,Adolf Herkenrath,0,5,4,2,8,0,1
AmnestyInternational,Amnesty International,0,0,0,NA,9,1,NA
AnnaSchaefer,Anna Schaefer,0,NA,4,2,7,0,2
AlbertSchreiber,Albert Schreiber,5,5,4,2,6,0,1
AlfredSchaak,Alfred Schaak,5,5,4,2,6,0,1
ArturoMaschke,Arturo Maschke,3,5,2,1,1,0,1
CasinoFamilar,Casino Familar,0,0,0,1,6,1,NA
chilenischesMilitaer,chilenisches Militaer,0,0,2,1,1,1,NA
DeutscheBotschaft,Deutsche Botschaft,5,0,4,1,1,1,NA
DieterMaier,Dieter Maier,0,4,4,2,9,0,1
DorotheaHopp,Dorothea Hopp,5,NA,4,2,6,0,2
ErichStraetling,Erich Straetling,3,4,4,2,1,0,1
EdeltraudBohnau,Edeltraud Bohnau,0,4,4,2,6,0,2
EstherMueller,Esther Mueller,0,4,4,2,6,0,2
ErikaTymm,Erika Tymm,0,4,4,2,6,0,2
ErichFege,Erich Fege,5,NA,4,2,6,0,1
EfrainVedder,Efrain Vedder,1,4,2,1,6,0,1
FreundeskreisColoniaDignidad,Freundeskreis Colonia Dignidad,1,0,4,2,6,1,NA
FranzJosefStrauss,Franz Josef Strauss,4,4,4,2,1,0,1
FriedhelmZeitner,Friedhelm Zeitner,4,3,4,1,6,0,1
GerhardMertins,Gerhard Mertins,3,4,4,2,2,0,1
GerhardLoewenthal,Gerhard Loewenthal,3,4,4,2,1,0,1
GuentherSchaffrik,Guenther Schaffrik,0,4,4,2,6,0,1
GeorgPackmor,Georg Packmor,2,4,4,1,9,0,1
GerhardMuecke,Gerhard Muecke,5,4,4,1,6,0,1
GerdSeewald,Gerd Seewald,5,5,4,2,6,0,1
GiselaSeewald,Gisela Seewald,5,NA,4,2,6,0,2
GuillermoOsorio,Guillermo Osorio,3,5,2,1,1,0,1
HugoRoggendorf,Hugo Roggendorf,2,4,4,2,6,0,1
HartmutHopp,Hartmut Hopp,5,4,4,2,6,0,1
HansAlbertLoeper,Hans Albert Loeper,2,4,4,2,6,0,1
HugoBaar,Hugo Baar,5,4,4,1,6,0,1
HorstSchaffrik,Horst Schaffrik,0,NA,2,1,6,0,1
HermannSchmidt,Hermann Schmidt,5,5,4,2,6,0,1
HorstKullakUblick,Horst Kullak Ublick,0,5,4,2,9,0,1
HernanLarrain,Hernan Larrain,3,4,2,1,4,0,1
HansJuergenRiesland,Hans Juergen Riesland,5,NA,4,2,6,0,1
HansBlank,Hans Blank,4,NA,4,2,6,0,1
HeinrichSchlueter,Heinrich Schlueter,4,NA,4,2,6,0,1
JuergenKarwelat,Juergen Karwelat,0,4,4,2,9,0,1
JorgeAlessandriRodriguez,Jorge Alessandri Rodriguez,3,5,2,1,1,0,1
JakobSchaefer,Jakob Schaefer,0,NA,4,2,7,0,1
KarlvandenBerg,Karl van den Berg,5,4,4,1,6,0,1
KurtSchnellenkamp,Kurt Schnellenkamp,5,5,4,2,5,0,1
KarlAlbrechtStricker,Karl Albrecht Stricker,0,5,4,1,9,0,1
LottiPackmor,Lotti Packmor,1,4,4,1,9,0,2
LuisHenriquez,Luis Henriquez,0,4,2,1,9,0,1
MichaelMueller,Michael Mueller,1,4,4,2,6,0,1
MarioRomero,Mario Romero,3,4,2,1,1,0,1
MileMavroski,Mile Mavroski,1,4,4,1,8,0,1
ManuelContreras,Manuel Contreras,5,4,2,1,1,0,1
ManfredRoeder,Manfred Roeder,1,4,4,2,6,0,1
NorbertBluem,Norbert Bluem,0,5,4,2,9,0,1
NathanBohnau,Nathan Bohnau,0,5,4,1,6,0,1
OttoDoerr,Otto Doerr,5,4,4,1,3,0,1
PaulSchaefer,Paul Schaefer,5,4,4,2,1,0,1
PatriaYLibertad,Patria Y Libertad,2,0,2,1,1,1,NA
PeterRahl,Peter Rahl,0,NA,4,2,6,0,1
RobertMatthusen,Robert Matthusen,0,3,4,1,6,0,1
ReinhardDoering,Reinhard Doering,5,4,4,2,8,0,1
StaatsanwaltschaftBonn,Staatsanwaltschaft Bonn,3,0,4,2,4,1,NA
TobiasMueller,Tobias Mueller,2,NA,4,2,6,0,1
UrselSchmidtke,Ursel Schmidtke,0,5,4,2,6,0,2
WalterRauff,Walter Rauff,2,4,4,2,6,0,1
WolfgangVogelgesang,Wolfgang Vogelgesang,3,4,4,2,1,0,1
WolfgangKneese,Wolfgang Kneese,2,4,4,2,6,0,1
WilliMalessa,Willi Malessa,0,4,4,1,6,0,1
WolfgangMuellerAltevogt,Wolfgang Mueller Altevogt,4,NA,4,2,6,0,1
PatricioCarvajal,Patricio Carvajal,3,5,2,1,1,0,1
RudolphCoellen,Rudolph Coellen,5,NA,4,2,6,0,1
ErikaBlanck,Erika Blanck,5,NA,4,2,6,0,2
HildegardMoehring,Hildegard Moehring,5,NA,4,2,6,0,2
HeinzKuhn,Heinz Kuhn,5,NA,4,2,6,0,1
JohannSpatz,Johann Spatz,5,NA,4,2,6,0,1
CarlosHonzik,Carlos Honzik,6,NA,4,4,10,0,1
HelmutSeelbach,Helmut Seelbach,6,NA,4,5,10,0,1
RitaSeelbach,Rita Seelbach,6,NA,4,5,10,0,2
Bundeswehr,Bundeswehr,6,0,4,2,10,1,NA
GiuseppeCanepa,Giuseppe Canepa,6,NA,4,1,10,0,1
ObsthandelCanepa,Obsthandel Canepa,6,NA,2,1,10,1,NA
MEREX,MEREX,6,NA,4,2,10,1,NA
FedericoWilloughby,Federico Willoughby,6,5,2,1,1,0,1
HansUlrichRudel,Hans Ulrich Rudel,6,5,4,5,10,0,1
KlausBarbie,KlausBarbie,6,5,4,5,10,0,1
ANDREA,ANDREA,6,0,2,1,4,2,NA
DINA,DINA,6,0,2,1,4,1,NA
SIM,SIM,6,0,2,1,4,1,NA